iter	Passed	Remaining
0	2	288
1	5	283
2	8	276
3	11	270
4	14	271
5	17	272
6	20	271
7	22	264
8	25	259
9	28	258
10	31	253
11	33	248
12	37	247
13	39	244
14	42	240
15	45	237
16	47	234
17	50	230
18	53	228
19	56	226
20	59	223
21	62	220
22	66	223
23	69	221
24	72	218
25	75	214
26	78	211
27	80	208
28	83	205
29	86	202
30	89	198
31	92	196
32	95	193
33	97	189
34	100	187
35	103	184
36	106	180
37	108	177
38	111	174
39	114	171
40	117	169
41	121	167
42	124	165
43	127	162
44	130	159
45	134	157
46	136	154
47	140	151
48	142	148
49	145	145
50	147	142
51	150	139
52	153	135
53	155	132
54	158	129
55	161	126
56	164	124
57	167	121
58	169	118
59	172	115
60	175	112
61	177	108
62	180	106
63	183	103
64	186	100
65	189	97
66	192	94
67	195	91
68	198	88
69	200	86
70	203	83
71	206	80
72	208	77
73	212	74
74	215	71
75	218	69
76	222	66
77	224	63
78	227	60
79	230	57
80	233	54
81	236	51
82	239	48
83	241	46
84	244	43
85	247	40
86	250	37
87	252	34
88	255	31
89	257	28
90	260	25
91	263	22
92	266	20
93	269	17
94	272	14
95	275	11
96	277	8
97	280	5
98	283	2
99	286	0
